epizoda,reziser
0059753,Robert Butler
0061027,James Goldstone
0066932,Steven Spielberg
0080263,Igor Maslennikov
0089619,Robert Butler
0089759,Douglas Williams
0094030,Corey Allen
0094982,Krzysztof Kieslowski
0094983,Krzysztof Kieslowski
0094984,Krzysztof Kieslowski
0094985,Krzysztof Kieslowski
0094986,Krzysztof Kieslowski
0094987,Krzysztof Kieslowski
0094988,Krzysztof Kieslowski
0094989,Krzysztof Kieslowski
0094990,Krzysztof Kieslowski
0094991,Krzysztof Kieslowski
0095158,Alan Clarke
0098151,David Hemmings
0098286,Art Wolff
0099851,James Lapine
0108170,Stephen Frears
0108214,David Carson
0111281,Winrich Kolbe
0113637,Gavin Taylor
0113637,Paul Kafno
0114117,Roger Michell
0114530,Winrich Kolbe
0128996,Robert Iscove
0131620,D.J. MacHale
0151683,Alex Zamm
0162905,Jonathan Frakes
0170817,Robert Mandel
0173714,David Mallet
0187844,Andrew Prowse
0200809,Mark Rosman
0207972,Rob Marshall
0213826,Alan Alda
0217074,David Steinberg
0218121,Mark Rosman
0229922,Igor Maslennikov
0234794,Mario Azzopardi
0235326,David Nutter
0272790,Peter Hewitt
0278784,David Lynch
0286610,James L. Conway
0308593,Dean Parisot
0348034,David Silverman
0367555,Martin Scorsese
0392952,Paul Unwin
0394893,Trey Parker
0394903,Gerd Oswald
0394904,Marc Daniels
0394904,Robert Butler
0394905,Vincent McEveety
0406516,Andy Wilson
0408347,Kim Manners
0413845,Alex Gibney
0452716,Charles Martin Smith
0452716,Joss Whedon
0458217,Trey Parker
0469870,Bill Anderson
0502165,Stephen Hopkins
0512875,Jeffrey Bell
0515212,Joe Russo
0515235,Joe Russo
0515236,Anthony Russo
0515236,Joe Russo
0515256,Anthony Russo
0519761,Michael Rymer
0533388,Scott Brazil
0533389,Joss Whedon
0533393,Michael Lange
0533397,Joss Whedon
0533398,Joss Whedon
0533401,James A. Contner
0533407,Joss Whedon
0533415,Joss Whedon
0533427,Nick Marck
0533434,Joss Whedon
0533435,Joss Whedon
0533437,Bruce Seth Green
0533443,Joss Whedon
0533444,James Whitmore Jr.
0533445,Stephen L. Posey
0533448,Joss Whedon
0533453,Joss Whedon
0533458,David Semel
0533459,David Semel
0533462,Bruce Seth Green
0533466,Joss Whedon
0533467,Reza Badiyi
0533470,Michael Gershman
0533474,Joss Whedon
0533477,Joss Whedon
0533480,John T. Kretchmer
0533488,Nick Marck
0533492,Michael Lange
0533493,David Grossman
0533494,Bruce Seth Green
0533496,Joss Whedon
0533499,Joss Whedon
0533501,John T. Kretchmer
0533505,Bruce Seth Green
0533507,Ellen S. Pressman
0533510,David Greenwalt
0533512,James Whitmore Jr.
0533523,Joss Whedon
0533527,Stephen Cragg
0534695,Quentin Tarantino
0534696,Quentin Tarantino
0550485,Charles Haid
0550488,Félix Enríquez Alcalá
0550490,Ernest R. Dickerson
0562985,Keith Boak
0562986,Joe Ahearne
0562987,Joe Ahearne
0562988,Joe Ahearne
0562989,Joe Ahearne
0562990,James Hawes
0562991,Graeme Harper
0562992,Keith Boak
0562993,James Hawes
0562994,James Hawes
0562995,James Hawes
0562996,James Hawes
0562997,Euros Lyn
0562998,Euros Lyn
0562999,Brian Grant
0563000,Joe Ahearne
0563001,Euros Lyn
0563002,Euros Lyn
0563003,Keith Boak
0576927,Peter Shin
0576927,Roy Allen Smith
0579527,Allan Kroeker
0579528,Tim Minear
0579529,Thomas J. Wright
0579530,Marita Grabiak
0579531,Joss Whedon
0579532,Vondie Curtis-Hall
0579533,David Solomon
0579534,Michael Grossman
0579535,Joss Whedon
0579537,Vern Gillum
0579538,Tim Minear
0579539,Joss Whedon
0579540,Vern Gillum
0579541,James A. Contner
0583431,Kevin Bright
0583432,David Schwimmer
0583433,Kevin Bright
0583434,Kevin Bright
0583435,Kevin Bright
0583436,Kevin Bright
0583437,Kevin Bright
0583438,Kevin Bright
0583439,Michael Lembeck
0583440,Kevin Bright
0583441,Michael Lembeck
0583442,Michael Lembeck
0583443,Terry Hughes
0583444,Kevin Bright
0583445,Gary Halvorson
0583446,Ben Weiss
0583447,Michael Lembeck
0583448,Michael Lembeck
0583449,Michael Lembeck
0583450,Sheldon Epps
0583451,Gary Halvorson
0583452,Michael Lembeck
0583453,Kevin Bright
0583454,David Schwimmer
0583455,Gary Halvorson
0583456,Michael Lembeck
0583457,Gary Halvorson
0583458,Ben Weiss
0583459,James Burrows
0583460,Gary Halvorson
0583461,Robby Benson
0583462,James Burrows
0583463,Kevin Bright
0583464,Gail Mancuso
0583465,Michael Lembeck
0583466,Gary Halvorson
0583467,Shelley Jensen
0583468,Gary Halvorson
0583469,Kevin Bright
0583471,Kevin Bright
