serija,epizoda,leto,dolzina,zvrst,ocena,reziser,st_glasov
Igra prestolov,Battle of the Bastards,,60,"['Action', ' Adventure', ' Drama']",9.9,Miguel Sapochnik,156.789
Kriva pota,Felina,,55,"['Crime', ' Drama', ' Thriller']",9.9,Vince Gilligan,66.505
Igra prestolov,Hardhome,,61,"['Action', ' Adventure', ' Drama']",9.9,Miguel Sapochnik,69.884
Hannibal,Mizumono,,44,"['Crime', ' Drama', ' Horror']",9.9,David Slade,13.066
Kriva pota,Ozymandias,,48,"['Crime', ' Drama', ' Thriller']",9.9,Rian Johnson,95.829
Igra prestolov,The Rains of Castamere,,51,"['Action', ' Adventure', ' Drama']",9.9,David Nutter,66.69
Igra prestolov,The Winds of Winter,,68,"['Action', ' Adventure', ' Drama']",9.9,Miguel Sapochnik,107.663
Lucifer,A Devil of My Word,,43,"['Crime', ' Drama', ' Fantasy']",9.8,Eagle Egilsson,6.825
Igra prestolov,Battle of the Bastards,,60,"['Action', ' Adventure', ' Drama']",9.9,Miguel Sapochnik,156.789
Kriva pota,Felina,,55,"['Crime', ' Drama', ' Thriller']",9.9,Vince Gilligan,66.505
Igra prestolov,Hardhome,,61,"['Action', ' Adventure', ' Drama']",9.9,Miguel Sapochnik,69.884
Hannibal,Mizumono,,44,"['Crime', ' Drama', ' Horror']",9.9,David Slade,13.066
Kriva pota,Ozymandias,,48,"['Crime', ' Drama', ' Thriller']",9.9,Rian Johnson,95.829
Igra prestolov,The Rains of Castamere,,51,"['Action', ' Adventure', ' Drama']",9.9,David Nutter,66.69
Igra prestolov,The Winds of Winter,,68,"['Action', ' Adventure', ' Drama']",9.9,Miguel Sapochnik,107.663
Lucifer,A Devil of My Word,,43,"['Crime', ' Drama', ' Fantasy']",9.8,Eagle Egilsson,6.825
